     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
309749840,   5, 20,  1,  1,  0.012,  1, -0.140, -0.003,  0.003 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.600, -0.344,  0.064 
                               G14,  1, 11.880,  0.384, -0.080 
                               G16,  1,  8.240, -0.416,  0.032 
                               G21,  1,  6.880,  0.264, -0.024 
                               G25,  1,  7.120, -0.040, -0.104 
                               G26,  1,  8.800, -0.288,  0.016 
                               G29,  1,  3.880, -0.184, -0.040 
                               G31,  1,  5.840, -0.096, -0.024 
309749840,  15, 35,  1,  1,  0.012,  1, -0.116,  0.011, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.600, -0.296, -0.008 
                               G14,  1, 13.080,  0.304, -0.016 
                               G21,  1,  7.720,  0.184, -0.056 
                               G25,  1,  7.040, -0.152, -0.072 
                               G26,  1,  8.040, -0.288, -0.016 
                               G29,  1,  3.400, -0.232, -0.040 
                               G31,  1,  5.480, -0.160, -0.008 
309749840,  16, 24,  1,  1,  0.012,  1, -0.132,  0.008, -0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.600, -0.368,  0.024 
                               G05,  1,  6.800, -0.040, -0.096 
                               G12,  1, 10.440,  0.064, -0.040 
                               G14,  1, 13.040,  0.432,  0.024 
                               G21,  1,  7.320,  0.128, -0.064 
                               G25,  1,  6.520, -0.112, -0.064 
                               G26,  1,  7.840, -0.312,  0.008 
                               G29,  1,  3.080, -0.200, -0.016 
                               G31,  1,  5.320, -0.160, -0.008 
309749840,  17, 32,  1,  1,  0.008,  1, -0.128,  0.007,  0.001 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  3.080, -0.448,  0.088 
                               G05,  1,  6.200, -0.008, -0.064 
                               G12,  1, 10.000, -0.008, -0.088 
                               G14,  1, 13.080,  0.464, -0.024 
                               G21,  1,  7.000,  0.064, -0.040 
                               G25,  1,  6.040, -0.096, -0.056 
                               G26,  1,  8.000, -0.368,  0.024 
                               G29,  1,  3.080, -0.224,  0.008 
                               G31,  1,  5.280, -0.176,  0.000 
309749840,  21, 48,  1,  1,  0.008,  1, -0.088,  0.016, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.520, -0.336,  0.000 
                               G05,  1,  6.160, -0.144,  0.008 
                               G14,  1, 14.360,  0.408,  0.040 
                               G21,  1,  7.640,  0.088, -0.072 
                               G23,  1, -1.840,  0.184,  0.000 
                               G25,  1,  6.000, -0.168, -0.056 
                               G26,  1,  6.840, -0.312, -0.016 
                               G29,  1,  2.400, -0.232, -0.024 
                               G31,  1,  4.720, -0.224, -0.008 
309749840,  22, 56,  1,  1,  0.008,  1, -0.112,  0.003,  0.000 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.880, -0.344,  0.152 
                               G05,  1,  6.080, -0.104,  0.000 
                               G12,  1, 10.360,  0.256, -0.064 
